dimension,period,start_year,end_year,enrollment_start,enrollment_end,enrollment_change_abs,enrollment_change_pct,teacher_fte_start,teacher_fte_end,teacher_fte_change_abs,teacher_fte_change_pct,ratio_start,ratio_end,ratio_change_abs,ratio_change_pct,para_fte_start,para_fte_end,para_fte_change_abs,para_fte_change_pct,combined_ratio_start,combined_ratio_end,combined_ratio_change_abs,combined_ratio_change_pct,accounting_decomposition
Metro_LEA_K12,Full_Decade_2014_to_2024,2014-2015,2024-2025,321228,318883,-2345,-0.73,21633.26,23555.17,1921.91,8.88,14.85,13.54,-1.31,-8.83,4774.11,5340.02,565.91,11.85,12.16,11.04,-1.13,-9.28,Staffing Expansion
Metro_LEA_K12,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,321228,329357,8129,2.53,21633.26,23136.48,1503.22,6.95,14.85,14.24,-0.61,-4.13,4774.11,5273.11,499.0,10.45,12.16,11.59,-0.57,-4.7,Staffing Expansion
Metro_LEA_K12,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,329357,321732,-7625,-2.32,23136.48,23310.69,174.21,0.75,14.24,13.8,-0.43,-3.05,5273.11,4871.59,-401.52,-7.61,11.59,11.42,-0.18,-1.53,Enrollment Contraction
Metro_LEA_K12,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,321732,318883,-2849,-0.89,23310.69,23555.17,244.48,1.05,13.8,13.54,-0.26,-1.91,4871.59,5340.02,468.43,9.62,11.42,11.04,-0.38,-3.33,Joint Staffing Expansion & Enrollment Contraction
State_MO_LEA,Full_Decade_2014_to_2024,2014-2015,2024-2025,180423,179402,-1021,-0.57,12171.86,13350.66,1178.8,9.68,14.82,13.44,-1.39,-9.35,2182.51,2440.92,258.41,11.84,12.57,11.36,-1.21,-9.62,Staffing Expansion
State_MO_LEA,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,180423,184382,3959,2.19,12171.86,12899.81,727.95,5.98,14.82,14.29,-0.53,-3.57,2182.51,2344.31,161.8,7.41,12.57,12.1,-0.47,-3.77,Staffing Expansion
State_MO_LEA,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,184382,180743,-3639,-1.97,12899.81,13003.52,103.71,0.8,14.29,13.9,-0.39,-2.76,2344.31,2166.39,-177.92,-7.59,12.1,11.91,-0.18,-1.49,Enrollment Contraction
State_MO_LEA,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,180743,179402,-1341,-0.74,13003.52,13350.66,347.14,2.67,13.9,13.44,-0.46,-3.32,2166.39,2440.92,274.53,12.67,11.91,11.36,-0.55,-4.65,Staffing Expansion
State_KS_LEA,Full_Decade_2014_to_2024,2014-2015,2024-2025,140805,139481,-1324,-0.94,9461.4,10204.51,743.11,7.85,14.88,13.67,-1.21,-8.15,2591.6,2899.1,307.5,11.87,11.68,10.64,-1.04,-8.88,Staffing Expansion
State_KS_LEA,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,140805,144975,4170,2.96,9461.4,10236.67,775.27,8.19,14.88,14.16,-0.72,-4.84,2591.6,2928.8,337.2,13.01,11.68,11.01,-0.67,-5.74,Staffing Expansion
State_KS_LEA,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,144975,140989,-3986,-2.75,10236.67,10307.17,70.5,0.69,14.16,13.68,-0.48,-3.41,2928.8,2705.2,-223.6,-7.63,11.01,10.83,-0.18,-1.61,Enrollment Contraction
State_KS_LEA,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,140989,139481,-1508,-1.07,10307.17,10204.51,-102.66,-1.0,13.68,13.67,-0.01,-0.07,2705.2,2899.1,193.9,7.17,10.83,10.64,-0.19,-1.76,Mixed
Metro_School_Regular,Full_Decade_2014_to_2024,2014-2015,2024-2025,326021,323188,-2833,-0.87,21191.15,23178.23,1987.08,9.38,15.38,13.94,-1.44,-9.37,,,,,,,,,Staffing Expansion
Metro_School_Regular,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,326021,332190,6169,1.89,21191.15,22342.11,1150.96,5.43,15.38,14.87,-0.52,-3.36,,,,,,,,,Staffing Expansion
Metro_School_Regular,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,332190,323656,-8534,-2.57,22342.11,22293.2,-48.91,-0.22,14.87,14.52,-0.35,-2.36,,,,,,,,,Enrollment Contraction
Metro_School_Regular,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,323656,323188,-468,-0.14,22293.2,23178.23,885.03,3.97,14.52,13.94,-0.57,-3.96,,,,,,,,,Staffing Expansion
Locale_City,Full_Decade_2014_to_2024,2014-2015,2024-2025,113212,125597,12385,10.94,7518.25,9131.85,1613.6,21.46,15.06,13.75,-1.3,-8.66,,,,,,,,,Staffing Outpaced Enrollment Growth
Locale_City,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,113212,121939,8727,7.71,7518.25,8417.18,898.93,11.96,15.06,14.49,-0.57,-3.79,,,,,,,,,Staffing Outpaced Enrollment Growth
Locale_City,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,121939,118019,-3920,-3.21,8417.18,8372.28,-44.9,-0.53,14.49,14.1,-0.39,-2.7,,,,,,,,,Enrollment Contraction
Locale_City,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,118019,125597,7578,6.42,8372.28,9131.85,759.57,9.07,14.1,13.75,-0.34,-2.43,,,,,,,,,Staffing Outpaced Enrollment Growth
Locale_Suburb,Full_Decade_2014_to_2024,2014-2015,2024-2025,138849,127583,-11266,-8.11,8782.64,9011.67,229.03,2.61,15.81,14.16,-1.65,-10.45,,,,,,,,,Enrollment Contraction
